"Database","Connectivity From","Connectivity To","Projection Strength","Organism","Notes","Reference","e_uid","database","con_from","con_to","projection_strength","species","notes","reference","link","con_from_abb","con_to_abb","nifid","ref_link"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=320&aff=286"" class=""external"" target=""_blank"">BAMS</a>","Lateral preoptic area","Anteroventral preoptic nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=3259955"" class=""external"" target=""_blank"">Simerly RB, Swanson LW.: Projections of the medial preoptic nucleus: a Phaseolus vulgaris leucoagglutinin anterograde tract-tracing study in the rat.. In J Comp Neurol</a>","320286not presentSimerly RB, Swanson LW.: Projections of the medial preoptic nucleus: a Phaseolus vulgaris leucoagglutinin anterograde tract-tracing study in the rat.. In J Comp NeurolPHALAnteroventral preoptic nucleus","BAMS","Lateral preoptic area","Anteroventral preoptic nucleus","not detected","Rat","Technique: PHAL","Simerly RB, Swanson LW.: Projections of the medial preoptic nucleus: a Phaseolus vulgaris leucoagglutinin anterograde tract-tracing study in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=320&aff=286","LPO","AVP","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=3259955"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=679&aff=124"" class=""external"" target=""_blank"">BAMS</a>","Cortical nucleus of the amygdala posterior part lateral zone","Bed nuclei of the stria terminalis posterior division cell-sparse zone","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol</a>","679124not presentCanteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp NeurolPHALBed nuclei of the stria terminalis posterior division cell-sparse zone","BAMS","Cortical nucleus of the amygdala posterior part lateral zone","Bed nuclei of the stria terminalis posterior division cell-sparse zone","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=679&aff=124","COApl","BSTsz","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=302&aff=236"" class=""external"" target=""_blank"">BAMS</a>","Ventromedial nucleus of the hypothalamus anterior part","Supraoptic nucleus, accessory supraoptic group, nucleus circularis","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol</a>","302236not presentCanteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp NeurolPHALSupraoptic nucleus, accessory supraoptic group, nucleus circularis","BAMS","Ventromedial nucleus of the hypothalamus anterior part","Supraoptic nucleus, accessory supraoptic group, nucleus circularis","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=302&aff=236","VMHa","NC","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=540&aff=632"" class=""external"" target=""_blank"">BAMS</a>","Precommissural nucleus","Primary motor area","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=10331578"" class=""external"" target=""_blank"">Canteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp Neurol</a>","540632not presentCanteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp NeurolPHALPrimary motor area","BAMS","Precommissural nucleus","Primary motor area","not detected","Rat","Technique: PHAL","Canteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=540&aff=632","PRC","MOp","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=10331578"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=112&aff=255"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division dorsomedial nucleus","Anterior amygdaloid area","weak","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=16304682"" class=""external"" target=""_blank"">Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, dorsomedial nucleus: implications for cerebral hemipshere integration for neuroendocrine, autonomic and drinking responses. In J Comp Neurol</a>","112255very lightDong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, dorsomedial nucleus: implications for cerebral hemipshere integration for neuroendocrine, autonomic and drinking responses. In J Comp NeurolPHALAnterior amygdaloid area","BAMS","Bed nuclei of the stria terminalis anterior division dorsomedial nucleus","Anterior amygdaloid area","weak","Rat","Technique: PHAL","Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, dorsomedial nucleus: implications for cerebral hemipshere integration for neuroendocrine, autonomic and drinking responses. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=112&aff=255","BSTdm","AAA","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=16304682"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=680&aff=651"" class=""external"" target=""_blank"">BAMS</a>","Cortical nucleus of the amygdala posterior part medial zone","Anterior olfactory nucleus medial part pyramidal layer","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol</a>","680651not presentCanteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp NeurolPHALAnterior olfactory nucleus medial part pyramidal layer","BAMS","Cortical nucleus of the amygdala posterior part medial zone","Anterior olfactory nucleus medial part pyramidal layer","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=680&aff=651","COApm","AONm2","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=695"" class=""external"" target=""_blank"">BAMS</a>","Basomedial nucleus of the amygdala posterior part","Intermediolateral visual area","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"" class=""external"" target=""_blank"">Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol</a>","787695not presentPetrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp NeurolPHALIntermediolateral visual area","BAMS","Basomedial nucleus of the amygdala posterior part","Intermediolateral visual area","not detected","Rat","Technique: PHAL","Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=695","BMAp","VISli","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=299&aff=251"" class=""external"" target=""_blank"">BAMS</a>","Retrochiasmatic area","Paraventricular nucleus of the hypothalamus, parvicellular division, anterior parvicellular part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=3294923"" class=""external"" target=""_blank"">Watts AG, Swanson LW, Sanchez-Watts G.: Efferent projections of the suprachiasmatic nucleus: I. Studies using anterograde transport of Phaseolus vulgaris leucoagglutinin in the rat.. In J Comp Neurol</a>","299251not presentWatts AG, Swanson LW, Sanchez-Watts G.: Efferent projections of the suprachiasmatic nucleus: I. Studies using anterograde transport of Phaseolus vulgaris leucoagglutinin in the rat.. In J Comp NeurolPHALParaventricular nucleus of the hypothalamus, parvicellular division, anterior parvicellular part","BAMS","Retrochiasmatic area","Paraventricular nucleus of the hypothalamus, parvicellular division, anterior parvicellular part","not detected","Rat","Technique: PHAL","Watts AG, Swanson LW, Sanchez-Watts G.: Efferent projections of the suprachiasmatic nucleus: I. Studies using anterograde transport of Phaseolus vulgaris leucoagglutinin in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=299&aff=251","RCH","PVHap","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=3294923"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=298&aff=245"" class=""external"" target=""_blank"">BAMS</a>","Subparaventricular zone","Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=20863850"" class=""external"" target=""_blank"">Canteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res Rev</a>","298245not presentCanteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res RevPHALParaventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part","BAMS","Subparaventricular zone","Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part","not detected","Rat","Technique: PHAL","Canteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=298&aff=245","SBPV","PVHam","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=20863850"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=392&aff=733"" class=""external"" target=""_blank"">BAMS</a>","Lateral septal nucleus rostral (rostroventral) part dorsolateral zone","Field CA1 stratum oriens","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","392733not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevPHALField CA1 stratum oriens","BAMS","Lateral septal nucleus rostral (rostroventral) part dorsolateral zone","Field CA1 stratum oriens","not detected","Rat","Technique: PHAL","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=392&aff=733","LSr.dl","CA1so","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=302&aff=399"" class=""external"" target=""_blank"">BAMS</a>","Ventromedial nucleus of the hypothalamus anterior part","Lateral septal nucleus ventral part","not detected","Rat","Technique: Fluorogold","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","302399not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevFluorogoldLateral septal nucleus ventral part","BAMS","Ventromedial nucleus of the hypothalamus anterior part","Lateral septal nucleus ventral part","not detected","Rat","Technique: Fluorogold","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=302&aff=399","VMHa","LSv","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=461&aff=314"" class=""external"" target=""_blank"">BAMS</a>","Dorsal coclear nucleus","Dorsal premammillary nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=10861538"" class=""external"" target=""_blank"">Comoli E., Ribeiro-Barbosa E.R. & Canteras N.S.: Afferent connections of the dorsal premammillary nucleus. In J Comp Neurol</a>","461314not presentComoli E., Ribeiro-Barbosa E.R. & Canteras N.S.: Afferent connections of the dorsal premammillary nucleus. In J Comp NeurolPHALDorsal premammillary nucleus","BAMS","Dorsal coclear nucleus","Dorsal premammillary nucleus","not detected","Rat","Technique: PHAL","Comoli E., Ribeiro-Barbosa E.R. & Canteras N.S.: Afferent connections of the dorsal premammillary nucleus. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=461&aff=314","DCO","PMd","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=10861538"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=383&aff=121"" class=""external"" target=""_blank"">BAMS</a>","Lateral septal nucleus rostral (rostroventral) part medial zone dorsal region","Bed nuclei of the stria terminalis posterior division premedullary nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","383121not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevPHALBed nuclei of the stria terminalis posterior division premedullary nucleus","BAMS","Lateral septal nucleus rostral (rostroventral) part medial zone dorsal region","Bed nuclei of the stria terminalis posterior division premedullary nucleus","not detected","Rat","Technique: PHAL","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=383&aff=121","LSr.m.d","BSTpm","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=379"" class=""external"" target=""_blank"">BAMS</a>","Basomedial nucleus of the amygdala posterior part","Lateral septal nucleus caudal (caudodorsal) part ventral zone lateral region dorsal domain","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"" class=""external"" target=""_blank"">Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol</a>","787379not presentPetrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp NeurolPHALLateral septal nucleus caudal (caudodorsal) part ventral zone lateral region dorsal domain","BAMS","Basomedial nucleus of the amygdala posterior part","Lateral septal nucleus caudal (caudodorsal) part ventral zone lateral region dorsal domain","not detected","Rat","Technique: PHAL","Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=379","BMAp","LSc.v.l.d","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=708&aff=765"" class=""external"" target=""_blank"">BAMS</a>","Ectorhinal area","Perirhinal area","moderate","Rat","Technique: autoradiography","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=6643724"" class=""external"" target=""_blank"">Deacon TW, Eichenbaum H, Rosenberg P, Eckmann KW.: Afferent connections of the perirhinal cortex in the rat.. In J Comp Neurol</a>","708765moderateDeacon TW, Eichenbaum H, Rosenberg P, Eckmann KW.: Afferent connections of the perirhinal cortex in the rat.. In J Comp NeurolautoradiographyPerirhinal area","BAMS","Ectorhinal area","Perirhinal area","moderate","Rat","Technique: autoradiography","Deacon TW, Eichenbaum H, Rosenberg P, Eckmann KW.: Afferent connections of the perirhinal cortex in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=708&aff=765","ECT","PERI","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=6643724"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=680&aff=671"" class=""external"" target=""_blank"">BAMS</a>","Cortical nucleus of the amygdala posterior part medial zone","Piriform-amygdaloid area","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol</a>","680671not presentCanteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp NeurolPHALPiriform-amygdaloid area","BAMS","Cortical nucleus of the amygdala posterior part medial zone","Piriform-amygdaloid area","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=680&aff=671","COApm","PAA","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=1009&aff=252"" class=""external"" target=""_blank"">BAMS</a>","Lateral hypothalamic area","Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=7814679"" class=""external"" target=""_blank"">Risold P.Y., Canteras N.S., Swanson L.W.: Organization of projections from the anterior hypothalamic nucleus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol</a>","1009252not presentRisold P.Y., Canteras N.S., Swanson L.W.: Organization of projections from the anterior hypothalamic nucleus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp NeurolPHALParaventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone","BAMS","Lateral hypothalamic area","Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone","not detected","Rat","Technique: PHAL","Risold P.Y., Canteras N.S., Swanson L.W.: Organization of projections from the anterior hypothalamic nucleus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=1009&aff=252","LHA","PVHmpd","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=7814679"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=1694&aff=116"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis, anterior division, subcommisural zone","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","weak","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"" class=""external"" target=""_blank"">Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol</a>","1694116lightDong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp NeurolPHALBed nuclei of the stria terminalis anterior division magnocellular nucleus","BAMS","Bed nuclei of the stria terminalis, anterior division, subcommisural zone","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","weak","Rat","Technique: PHAL","Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=1694&aff=116","BSTsc","BSTmg","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=786&aff=837"" class=""external"" target=""_blank"">BAMS</a>","Basomedial nucleus of the amygdala anterior part","Fastigial nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"" class=""external"" target=""_blank"">Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol</a>","786837not presentPetrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp NeurolPHALFastigial nucleus","BAMS","Basomedial nucleus of the amygdala anterior part","Fastigial nucleus","not detected","Rat","Technique: PHAL","Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=786&aff=837","BMAa","FN","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=786&aff=284"" class=""external"" target=""_blank"">BAMS</a>","Basomedial nucleus of the amygdala anterior part","Medial preoptic nucleus central part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"" class=""external"" target=""_blank"">Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol</a>","786284not presentPetrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp NeurolPHALMedial preoptic nucleus central part","BAMS","Basomedial nucleus of the amygdala anterior part","Medial preoptic nucleus central part","not detected","Rat","Technique: PHAL","Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=786&aff=284","BMAa","MPNc","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=788&aff=595"" class=""external"" target=""_blank"">BAMS</a>","Posterior nucleus of the amygdala","Pontine reticular nucleus rostral part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol</a>","788595not presentCanteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp NeurolPHALPontine reticular nucleus rostral part","BAMS","Posterior nucleus of the amygdala","Pontine reticular nucleus rostral part","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=788&aff=595","PA","PRNr","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=642&aff=571"" class=""external"" target=""_blank"">BAMS</a>","Anterior olfactory nucleus dorsal part pyramidal layer","Nucleus incertus compact part","not detected","Rat","Technique: CTB","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=11503154"" class=""external"" target=""_blank"">Goto M., Swanson L.W., Canteras N.S.: Connections of the nucleus incertus. In J Comp Neurol</a>","642571not presentGoto M., Swanson L.W., Canteras N.S.: Connections of the nucleus incertus. In J Comp NeurolCTBNucleus incertus compact part","BAMS","Anterior olfactory nucleus dorsal part pyramidal layer","Nucleus incertus compact part","not detected","Rat","Technique: CTB","Goto M., Swanson L.W., Canteras N.S.: Connections of the nucleus incertus. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=642&aff=571","AONd2","NIc","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=11503154"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=110"" class=""external"" target=""_blank"">BAMS</a>","Basomedial nucleus of the amygdala posterior part","Bed nuclei of the stria terminalis juxtacapsular nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"" class=""external"" target=""_blank"">Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol</a>","787110not presentPetrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp NeurolPHALBed nuclei of the stria terminalis juxtacapsular nucleus","BAMS","Basomedial nucleus of the amygdala posterior part","Bed nuclei of the stria terminalis juxtacapsular nucleus","not detected","Rat","Technique: PHAL","Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=110","BMAp","BSTju","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=1694&aff=440"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis, anterior division, subcommisural zone","Mesencephalic nucleus of the trigeminal","moderate","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"" class=""external"" target=""_blank"">Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol</a>","1694440moderateDong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp NeurolPHALMesencephalic nucleus of the trigeminal","BAMS","Bed nuclei of the stria terminalis, anterior division, subcommisural zone","Mesencephalic nucleus of the trigeminal","moderate","Rat","Technique: PHAL","Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=1694&aff=440","BSTsc","MEV","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=523"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis posterior division principal nucleus","Trochlear nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"" class=""external"" target=""_blank"">Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol</a>","118523not presentDong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp NeurolPHALTrochlear nucleus","BAMS","Bed nuclei of the stria terminalis posterior division principal nucleus","Trochlear nucleus","not detected","Rat","Technique: PHAL","Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=523","BSTpr","IV","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"
